_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"2.429190","5.9.29.183","172.19.0.3","TLSv1.2","1225","Application Data"
"2.429280","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6944 Ack=90873 Win=11893 Len=0"
"2.444555","5.9.29.183","172.19.0.3","TLSv1.2","149","Application Data"
"2.446352","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"2.446369","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6944 Ack=92414 Win=11911 Len=0"
"2.460802","5.9.29.183","172.19.0.3","TLSv1.2","1207","Application Data"
"2.461216","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"2.461461","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=93565 Ack=7487 Win=65535 Len=0"
"2.471258","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"2.471497","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=93565 Ack=8030 Win=65535 Len=0"
"2.854145","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"2.855004","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"2.855264","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=94108 Ack=8573 Win=65535 Len=0"
"3.212243","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"3.212376","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=95556 Ack=8573 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.212385","5.9.29.183","172.19.0.3","TLSv1.2","775","Application Data"
"3.212507","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=8573 Ack=97735 Win=11895 Len=0"
"3.230319","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"3.230612","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=99183 Ack=8573 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.230624","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=8573 Ack=100643 Win=11909 Len=0"
"3.230658","5.9.29.183","172.19.0.3","TLSv1.2","775","Application Data"
"3.250244","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"3.250262","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=8573 Ack=102822 Win=11911 Len=0"
"3.250301","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=102822 Ack=8573 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.250309","5.9.29.183","172.19.0.3","TLSv1.2","1213","Application Data"
"3.250450","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=8573 Ack=105439 Win=11895 Len=0"
"3.264659","5.9.29.183","172.19.0.3","TLSv1.2","1504","Application Data"
"3.264703","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=106887 Ack=8573 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
